City,Country / Territory,Longitude,Latitude,Date,Pageviews
East Grinstead,United Kingdom,-0.0145,51.1287,20140919,1
London,United Kingdom,-0.1278,51.5074,20140919,20
Guildford,United Kingdom,-0.5704,51.2362,20140919,1
Scunthorpe,United Kingdom,-0.6544,53.5886,20140919,1
Portsmouth,United Kingdom,-1.0833,50.8167,20140919,1
Brackley,United Kingdom,-1.1432,52.0274,20140919,1
Marlborough,United Kingdom,-1.7271,51.4201,20140919,1
Lubbock,United States,-101.8552,33.5779,20140919,2
Rapid City,United States,-103.231,44.0805,20140919,1
Cheyenne,United States,-104.8202,41.14,20140919,1
Denver,United States,-104.9847,39.7376,20140919,3
El Paso,United States,-106.4968,31.77,20140919,1
Grand Junction,United States,-108.5506,39.0639,20140919,1
Kindersley,Canada,-109.1547,51.4675,20140919,1
Tucson,United States,-110.9265,32.2217,20140919,3
Flagstaff,United States,-111.6513,35.1983,20140919,2
Cottonwood Heights,United States,-111.8163,40.6183,20140919,1
Salt Lake City,United States,-111.891,40.7608,20140919,2
South Jordan,United States,-111.9297,40.5622,20140919,1
Phoenix,United States,-112.074,33.4484,20140919,1
Sherwood Park,Canada,-113.2957,53.5412,20140919,3
Edmonton,Canada,-113.4909,53.5444,20140919,3
Calgary,Canada,-114.0581,51.0453,20140919,2
Banff,Canada,-115.5708,51.1784,20140919,1
Lewiston,United States,-117.0012,46.4004,20140919,1
La Mesa,United States,-117.0231,32.7678,20140919,1
Menifee,United States,-117.167,33.6783,20140919,2
Nelson,Canada,-117.2948,49.4928,20140919,1
Eastvale,United States,-117.5639,33.9631,20140919,1
Lake Forest,United States,-117.6892,33.647,20140919,1
Irvine,United States,-117.7947,33.6839,20140919,2
Yorba Linda,United States,-117.8131,33.8886,20140919,2
Fullerton,United States,-117.9243,33.8704,20140919,1
Cerritos,United States,-118.0648,33.8583,20140919,1
Alhambra,United States,-118.127,34.0953,20140919,1
Long Beach,United States,-118.1937,33.7701,20140919,1
Los Angeles,United States,-118.2437,34.0522,20140919,17
Glendale,United States,-118.2551,34.1425,20140919,2
Burbank,United States,-118.309,34.1808,20140919,6
Culver City,United States,-118.3965,34.0211,20140919,1
Santa Monica,United States,-118.4912,34.0195,20140919,1
Malibu,United States,-118.7798,34.0259,20140919,1
Ventura,United States,-119.229,34.2746,20140919,1
San Luis Obispo,United States,-120.6596,35.2828,20140919,1
Placerville,United States,-120.7985,38.7296,20140919,1
Modesto,United States,-120.9969,37.6391,20140919,1
Roseville,United States,-121.288,38.7521,20140919,1
Stockton,United States,-121.2908,37.9577,20140919,1
Sacramento,United States,-121.4944,38.5816,20140919,1
San Jose,United States,-121.895,37.3394,20140919,2
Aptos,United States,-121.8994,36.9772,20140919,1
Mountain View,United States,-122.0839,37.3861,20140919,1
Redmond,United States,-122.1215,47.674,20140919,1
Menlo Park,United States,-122.1817,37.453,20140919,2
Bellevue,United States,-122.2007,47.6104,20140919,1
Renton,United States,-122.2171,47.4829,20140919,1
Napa,United States,-122.2869,38.2975,20140919,1
SeaTac,United States,-122.2961,47.4436,20140919,1
Seattle,United States,-122.3321,47.6062,20140919,3
Camas,United States,-122.3995,45.5871,20140919,1
San Francisco,United States,-122.4194,37.7749,20140919,8
Gig Harbor,United States,-122.5801,47.3293,20140919,1
Port Moody,Canada,-122.8317,49.2831,20140919,1
Lebanon,United States,-122.907,44.5365,20140919,1
Newberg,United States,-122.9732,45.3001,20140919,2
Eugene,United States,-123.0868,44.0521,20140919,1
Vancouver,Canada,-123.1139,49.2612,20140919,5
Roseburg,United States,-123.3417,43.2165,20140919,1
Anchorage,United States,-149.9003,61.2181,20140919,1
Kailua-Kona,United States,-155.9969,19.64,20140919,1
Droitwich Spa,United Kingdom,-2.1479,52.2621,20140919,1
Alderley Edge,United Kingdom,-2.2372,53.3016,20140919,2
Gloucester,United Kingdom,-2.2382,51.8642,20140919,1
Manchester,United Kingdom,-2.2485,53.4793,20140919,2
Bolton,United Kingdom,-2.4286,53.5844,20140919,1
Runcorn,United Kingdom,-2.7297,53.3421,20140919,1
Liverpool,United Kingdom,-2.9916,53.4084,20140919,3
Edinburgh,United Kingdom,-3.1883,55.9533,20140919,1
Glasgow,United Kingdom,-4.2518,55.8642,20140919,1
Sao Paulo,Brazil,-46.6333,-23.5505,20140919,1
Mogi Mirim,Brazil,-47.0194,-22.4558,20140919,3
Buenos Aires,Argentina,-58.3816,-34.6037,20140919,1
Dublin,Ireland,-6.2603,53.3498,20140919,4
Rosario,Argentina,-60.6665,-32.9507,20140919,1
Bedford,Canada,-63.6568,44.7321,20140919,1
Lewiston,United States,-70.2148,44.1004,20140919,1
Boston,United States,-71.0598,42.3584,20140919,11
Bristol,United States,-71.2662,41.6771,20140919,1
Weare,United States,-71.7306,43.0948,20140919,1
Peterborough,United States,-71.9517,42.8706,20140919,1
New Haven,United States,-72.9279,41.3083,20140919,2
Middlebury,United States,-73.1674,44.0153,20140919,2
